ts,action,sym,price,qty,notional,profit,cash,equity,score,reason
1772405058,BUY,MOG-USD,0.0000001600,857638888.8888889551,137.22,0.00,862.78,1000.00,5,drift=0.000 mom=0.000 vol=0.0000 dd=0.000
1772405077,BUY,SYND-USD,0.0938000000,1347.8901787360,126.43,0.00,736.35,1000.00,6,drift=0.066 mom=0.029 vol=0.0074 dd=0.000
1772405097,SELL,SYND-USD,0.0920000000,1347.8901787360,124.01,-2.43,860.35,1121.58,6,STOP/TRAIL
1772405098,BUY,SUPER-USD,0.1116600000,1048.4354799727,117.07,0.00,743.28,997.57,5,drift=-0.002 mom=0.000 vol=0.0010 dd=-0.002
1772405117,BUY,AVNT-USD,0.1710000000,585.7218673437,100.16,0.00,643.12,997.57,5,drift=0.005 mom=0.000 vol=0.0012 dd=0.000
1772405137,BUY,CTX-USD,0.5712000000,150.0194488662,85.69,0.00,557.43,997.57,5,drift=0.000 mom=0.000 vol=0.0000 dd=0.000
1772405157,BUY,BLZ-USD,0.0122000000,6009.3036501030,73.31,0.00,484.12,997.57,5,drift=0.000 mom=0.000 vol=0.0000 dd=0.000
1772405177,BUY,C98-USD,0.0259000000,2421.7674169484,62.72,0.00,421.40,997.57,5,drift=0.004 mom=0.000 vol=0.0006 dd=0.000
1772405196,BUY,ARB-USD,0.0990000000,542.0573243120,53.66,0.00,367.73,997.57,5,drift=0.005 mom=0.000 vol=0.0012 dd=-0.001
1772405216,BUY,CELR-USD,0.0025900000,17726.7395247991,45.91,0.00,321.82,997.57,5,drift=0.008 mom=0.024 vol=0.0058 dd=0.000
1772405236,BUY,XYO-USD,0.0040900000,9604.0305988337,39.28,0.00,282.54,997.57,5,drift=0.012 mom=0.005 vol=0.0036 dd=-0.005
1772405256,BUY,MAMO-USD,0.0133500000,2517.3804329728,33.61,0.00,248.93,997.52,5,drift=-0.007 mom=0.000 vol=0.0012 dd=-0.007
1772405276,BUY,SD-USD,0.1389000000,206.9865646618,28.75,0.00,220.18,997.83,5,drift=0.001 mom=0.000 vol=0.0001 dd=0.000
1772405337,SELL,CELR-USD,0.0025700000,17726.7395247991,45.56,-0.35,265.74,1042.37,5,STOP/TRAIL
1772405337,BUY,DBR-USD,0.0152800000,2040.9380597359,31.19,0.00,234.55,996.81,5,drift=0.000 mom=0.000 vol=0.0000 dd=0.000
