sym,ts,ret_5,ret_15,vol_15,slope_15,dd_15,score,label
SYND-USD,1772405097,0.003272,0.045455,0.010668,0.003709,-0.019190,6,0
CELR-USD,1772405337,-0.007722,0.015810,0.006799,0.001673,-0.011538,5,0
SD-USD,1772405572,-0.013620,-0.012204,0.003569,0.000068,-0.013620,5,0
CELR-USD,1772405974,-0.003922,-0.011673,0.002110,-0.000642,-0.011673,5,0
ARB-USD,1772407013,-0.002004,-0.004995,0.001086,-0.000377,-0.008955,5,1
MAMO-USD,1772407107,-0.007310,-0.012364,0.002146,-0.000489,-0.012364,5,1
AVNT-USD,1772407690,-0.005821,-0.005821,0.001452,-0.000084,-0.005821,5,0
MOG-USD,1772408515,-0.062500,-0.062500,0.015590,-0.000952,-0.062500,5,0
CELR-USD,1772408647,-0.007634,-0.011407,0.001527,-0.000231,-0.011407,5,1
CELR-USD,1772408852,0.003831,0.003831,0.004833,0.000095,-0.011321,5,1
CELR-USD,1772409127,-0.003846,-0.011450,0.001533,-0.000642,-0.022642,5,0
LRDS-USD,1772409149,-0.007722,0.000000,0.004232,0.000474,-0.011538,6,0
MAMO-USD,1772409225,-0.015328,-0.007358,0.004450,0.000366,-0.015328,5,0
ALICE-USD,1772409668,-0.006579,0.000000,0.003397,0.000473,-0.013072,5,0
DEXT-USD,1772409779,-0.049005,-0.049005,0.012224,-0.000736,-0.049005,6,0
BLZ-USD,1772410022,-0.008130,-0.008130,0.002028,-0.000431,-0.016129,5,0
MAMO-USD,1772410121,-0.014826,-0.014826,0.003698,-0.000215,-0.014826,5,0
CELR-USD,1772410497,-0.007634,-0.007634,0.001300,-0.000344,-0.011407,5,1
GFI-USD,1772411044,-0.005486,-0.005486,0.001368,-0.000079,-0.005486,5,0
SUKU-USD,1772411160,-0.013699,-0.013699,0.003417,-0.000198,-0.013699,5,0
MOG-USD,1772411387,-0.062500,-0.062500,0.015590,-0.000952,-0.062500,5,0
SKR-USD,1772411555,-0.015439,0.000000,0.004560,0.000570,-0.017173,6,0
XYO-USD,1772411706,-0.004854,-0.004854,0.001211,-0.000070,-0.004854,5,1
XYO-USD,1772413054,0.002392,0.021951,0.010870,0.001710,-0.025581,5,1
SYND-USD,1772413408,-0.009324,0.042945,0.007413,0.003315,-0.013921,6,1
IMX-USD,1772414571,-0.002352,-0.007602,0.001360,-0.000451,-0.009340,6,0
MAMO-USD,1772415431,-0.019795,-0.019795,0.004938,-0.000288,-0.019795,5,0
NEON-USD,1772416945,-0.012117,0.018074,0.006238,0.001878,-0.012117,6,0
2Z-USD,1772416984,-0.003673,-0.003673,0.000916,-0.000071,-0.004486,5,1
LRDS-USD,1772417328,-0.015038,0.027451,0.010727,0.002884,-0.015038,6,0
CGLD-USD,1772417757,-0.001299,-0.001299,0.000324,-0.000054,-0.002594,5,0
BTRST-USD,1772420177,0.022989,0.011364,0.011298,0.000895,-0.021978,6,0
ALICE-USD,1772421123,-0.006803,-0.013514,0.003002,-0.000057,-0.013514,6,0
IOTX-USD,1772422240,-0.041481,-0.041481,0.010347,-0.000618,-0.041481,6,0
FIS-USD,1772422307,-0.028571,-0.028571,0.007127,-0.000420,-0.028571,6,0
